ID_mm,wall_mm,OD_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,physical_pressure_MPa,virtual_pressure_MPa,limit_governing_case,limit_governing_surface,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_surface,ultimate_vm_MPa,MS_ultimate,limit_tau_screen_MPa,MS_limit_shear,ultimate_tau_screen_MPa,MS_ultimate_shear,virtual_vm_MPa,virtual_governing_surface,MS_virtual_vs_yield,PASS
62.0,2.0,66.0,402.1238596594941,206088.4780754907,412176.9561509814,3.1647147755202183,9.292136857325454,10.514733499585715,LC4+,outer,1115.325878990386,0.3601405908138857,LC4+,outer,1667.5252550084658,0.11662476739553007,44.13446149409798,18.844818056243575,66.20169224114696,15.238651382432668,169.64851329416356,inner,7.942017648982189,True
62.0,2.25,66.5,454.15648798457534,234635.69180015576,469271.3836003115,3.574211560438608,9.292136857325454,10.514733499585715,LC4+,outer,987.0678554572368,0.536875090818639,LC4+,outer,1475.7618419587595,0.26172119854284315,39.077984063948385,21.41262898637276,58.616976095922574,17.339844066194715,152.11999222504443,inner,8.972390727944353,True
62.0,2.5,67.0,506.581815391355,263834.1417285099,527668.2834570198,3.986798887129964,9.292136857325454,10.514733499585715,LC4+,outer,884.4473032759233,0.7151954609179667,LC4+,outer,1322.3295754618393,0.40812096662791064,35.03386710849327,23.99981962163498,52.550800662739896,19.45689480794741,138.10506342368114,inner,9.984390886133703,True
62.0,2.75,67.5,559.399841879833,293693.6576094417,587387.3152188835,4.402476755594286,9.292136857325454,10.514733499585715,LC4+,outer,800.4733682243086,0.8951286329052566,LC4+,outer,1196.776289588381,0.5558463316819355,31.72600110211046,26.606389962030235,47.58900165316569,21.589803607690744,126.64533414615191,inner,10.978333116081037,True
62.0,3.0,68.0,612.6105674500102,324224.14282291796,648448.2856458359,4.821245165831581,9.292136857325454,10.514733499585715,LC4+,outer,730.4854469570869,1.076701194143184,LC4+,outer,1092.133822692329,0.7049192702500473,28.970313185869454,29.23234000755856,43.45546977880417,23.738570465424758,117.10187884184998,inner,11.954531686453635,True
62.0,3.25,68.5,666.2139921018866,355435.5743799829,710871.1487599658,5.243104117841847,9.292136857325454,10.514733499585715,LC4+,outer,671.2569373877583,1.2599393995144514,LC4+,outer,1003.5780168502807,0.8553614853420841,26.639368446776494,31.87766975821995,39.95905267016473,25.90319538114944,109.03236710586843,inner,12.913299695007272,True
62.0,3.5,69.0,720.2101158354607,387338.0029227587,774676.0058455174,5.6680536116250755,9.292136857325454,10.514733499585715,LC4+,outer,620.483096041936,1.444869182862432,LC4+,outer,927.6630032433633,1.0071944159570223,24.642142077402593,34.54237921401435,36.96321311610389,28.08367835486474,102.12085107967464,inner,13.854948660939355,True
62.0,3.75,69.5,774.5989386507346,419941.5527244457,839883.1054488914,6.096093647181281,9.292136857325454,10.514733499585715,LC4+,outer,576.4737524617141,1.6315161679468662,LC4+,outer,861.8617733746482,1.160439246202181,22.91188267171423,37.22646837494185,34.36782400757135,30.280019386570743,96.13563789103661,inner,14.779788154309843,True
62.0,4.0,70.0,829.3804605477061,453256.42168932146,906512.8433786429,6.527224224510447,9.292136857325454,10.514733499585715,LC4+,outer,537.9612557009815,1.8199056789383432,LC4+,outer,804.2790360686596,1.3151169140271426,21.39852678501721,39.92993724100236,32.097790177525816,32.49221847626736,90.90295992867173,inner,15.688125460274726,True
62.0,4.25,70.5,884.5546815263768,487292.8813527418,974585.7627054836,6.961445343612586,9.292136857325454,10.514733499585715,LC4+,outer,503.9762044034134,2.010062750474029,LC4+,outer,753.4654190482413,1.4712481195912508,20.06379070808273,42.65278581219593,30.095686062124095,34.720275623954656,86.28993796096806,inner,16.580265275960585,True
62.0,4.5,71.0,940.1216015867454,522061.27688113926,1044122.5537622785,7.3987570044876865,9.292136857325454,10.514733499585715,LC4+,outer,473.76460018079615,2.2020121372957973,LC4+,outer,708.293603308429,1.6288533332824486,18.877898316606686,45.3950140885225,28.316847474910023,36.964190829632564,82.19322321507804,inner,17.456509437893803,True
62.0,4.75,71.5,996.081220728813,557572.0270720271,1115144.0541440542,7.839159207135759,9.292136857325454,10.514733499585715,LC4+,outer,446.7311630756064,2.3957783234908496,LC4+,outer,667.8735729408165,1.7879528034043064,17.81734223140407,48.15662206998215,26.726013347106104,39.22396409330115,78.53122616791339,inner,18.3171566779868,True
62.0,5.0,72.0,1052.4335389525804,593835.6243539933,1187671.2487079867,8.282651951556808,9.292136857325454,10.514733499585715,LC4+,outer,422.39965237823077,2.5913855313536756,LC4+,outer,631.493290000567,1.948566563547062,16.863316630580744,50.9376097565749,25.294974945871118,41.49959541496043,75.23867669995242,inner,19.16250240617216,True
62.0,5.25,72.5,1109.1785562580462,630862.634786705,1261725.26957341,8.729235237750824,9.292136857325454,10.514733499585715,LC4+,outer,400.38452434715316,2.788857729887397,LC4+,outer,598.5763194016732,2.110714439657793,16.000597829688935,53.73797714830068,24.000896744533396,43.79108479461036,72.26273849098716,inner,19.992838517864985,True
